"id","english","part_of_speech","created_at","updated_at"
31,"compare","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
32,"measure","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
33,"exist","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
34,"mark","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
35,"challenge","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
36,"depend","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
37,"object","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
38,"demand","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
39,"found","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
40,"complete","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
41,"idea","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
42,"accord","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
43,"company","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
44,"interest","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
45,"research","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
46,"cause","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
47,"reason","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
48,"effect","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
49,"influence","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
50,"situation","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
51,"environment","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
52,"skill","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
53,"matter","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
54,"view","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
55,"value","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
56,"species","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
57,"thought","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
58,"knowledge","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
59,"memory","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
60,"practice","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
61,"benefit","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
62,"theory","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
63,"issue","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
64,"experiment","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
65,"article","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
66,"focus","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
67,"subject","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
68,"project","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
69,"quality","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
70,"role","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
71,"term","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
72,"statement","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
73,"material","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
74,"evidence","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
75,"source","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
76,"community","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
77,"technology","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
78,"culture","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
79,"appropriate","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
80,"likely","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
81,"possible","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
82,"individual","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
83,"public","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
84,"common","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
85,"certain","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
86,"similar","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
87,"recent","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
88,"major","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
89,"patient","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
90,"particular","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
91,"physical","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
92,"various","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
93,"available","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
94,"native","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
95,"political","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
96,"due","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
97,"blank","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
98,"ancient","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
99,"correct","形容詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
100,"despite","副詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
101,"notice","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
102,"refer","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
103,"approach","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
104,"wonder","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
105,"imagine","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
106,"recognize","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
107,"solve","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
108,"occur","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
109,"argue","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
110,"claim","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
111,"express","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
112,"draw","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
113,"waste","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
114,"advance","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
115,"spread","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
116,"prepare","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
117,"gain","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
118,"achieve","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
119,"establish","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
120,"supply","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
121,"suppose","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
122,"perform","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
123,"prefer","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
124,"determine","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
125,"treat","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
126,"prove","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
127,"apply","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
128,"mention","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
129,"communicate","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
130,"contain","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
131,"contact","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
132,"regard","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
133,"respect","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
134,"search","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
135,"connect","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
136,"decline","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
137,"prevent","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
138,"suffer","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
139,"survive","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
140,"publish","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
141,"opportunity","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
142,"task","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
143,"industry","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
144,"medium","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
145,"economy","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
146,"policy","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
147,"account","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
148,"trade","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
149,"model","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
150,"figure","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
151,"cell","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
152,"image","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
153,"emotion","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
154,"stress","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
155,"decade","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
156,"range","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
157,"character","名詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
158,"advantage","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
159,"phrase","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
160,"damage","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
161,"impact","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
162,"method","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
163,"resource","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
164,"region","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
165,"medicine","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
166,"detail","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
167,"feature","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
168,"function","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
169,"access","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
170,"item","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
171,"income","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
172,"attitude","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
173,"site","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
174,"aspect","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
175,"structure","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
176,"habit","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
177,"link","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
178,"instance","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
179,"positive","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
180,"negative","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
181,"complex","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
182,"current","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
183,"mental","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
184,"specific","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
185,"significant","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
186,"essential","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
187,"official","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
188,"financial","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
189,"academic","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
190,"aware","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
191,"worth","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
192,"potential","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
193,"active","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
194,"digital","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
195,"mobile","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
196,"novel","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
197,"plastic","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
198,"chemical","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
199,"necessary","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
200,"eventually","副詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
201,"identify","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
202,"represent","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
203,"indicate","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
204,"manage","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
205,"attend","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
206,"maintain","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
207,"survey","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
208,"replace","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
209,"sort","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
210,"conduct","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
211,"associate","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
212,"attempt","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
213,"promote","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
214,"earn","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
215,"unite","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
216,"feed","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
217,"seek","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
218,"observe","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
219,"reveal","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
220,"estimate","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
221,"reflect","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
222,"attract","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
223,"decrease","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
224,"ignore","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
225,"match","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
226,"define","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
227,"adapt","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
228,"contribute","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
229,"exchange","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
230,"display","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
231,"respond","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
232,"hide","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
233,"doubt","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
234,"remove","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
235,"wind","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
236,"assume","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
237,"relax","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
238,"satisfy","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
239,"desire","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
240,"succeed","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
241,"concept","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
242,"fashion","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
243,"device","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
244,"charge","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
245,"contrast","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
246,"colleague","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
247,"pain","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
248,"bill","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
249,"content","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
250,"section","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
251,"audience","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
252,"surface","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
253,"crop","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
254,"topic","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
255,"technique","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
256,"status","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
257,"option","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
258,"reward","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
259,"race","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
260,"crime","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
261,"conflict","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
262,"struggle","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
263,"context","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
264,"debate","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
265,"fuel","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
266,"pollution","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
267,"trend","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
268,"balance","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
269,"traffic","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
270,"strategy","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
271,"basis","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
272,"consequence","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
273,"aim","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
274,"ancestor","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
275,"gene","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
276,"track","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
277,"revolution","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
278,"progress","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
279,"cognitive","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
280,"ideal","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
281,"efficient","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
282,"universal","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
283,"vast","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
284,"extra","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
285,"entire","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
286,"familiar","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
287,"obvious","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
288,"moral","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
289,"ordinary","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
290,"equal","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
291,"previous","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
292,"false","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
293,"rare","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
294,"legal","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
295,"independent","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
296,"extreme","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
297,"actual","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
298,"willing","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
299,"urban","形容詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
300,"whereas","接続詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
301,"predict","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
302,"examine","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
303,"trust","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
304,"stick","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
305,"emerge","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
306,"vary","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
307,"release","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
308,"divide","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
309,"enable","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
310,"judge","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
311,"rely","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
312,"engage","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
313,"shift","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
314,"adopt","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
315,"acquire","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
316,"expand","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
317,"refuse","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
318,"strike","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
319,"repeat","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
320,"consume","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
321,"confuse","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
322,"select","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
323,"evolve","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
324,"convince","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
325,"recall","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
326,"destroy","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
327,"preserve","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
328,"organize","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
329,"warn","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
330,"address","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
331,"operate","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
332,"participate","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
333,"surround","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
334,"flow","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
335,"bore","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
336,"complain","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
337,"host","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
338,"combine","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
339,"extend","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
340,"appreciate","動詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
341,"target","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
342,"element","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
343,"principle","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
344,"phenomenon","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
345,"atmosphere","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
346,"origin","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
347,"personality","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
348,"capacity","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
349,"profit","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
350,"circumstance","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
351,"manner","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
352,"threat","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
353,"resident","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
354,"wealth","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
355,"institution","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
356,"authority","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
357,"vote","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
358,"sight","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
359,"campaign","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
360,"fund","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
361,"web","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
362,"symbol","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
363,"analysis","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
364,"version","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
365,"perspective","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
366,"crisis","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
367,"disaster","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
368,"lecture","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
369,"psychology","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
370,"gender","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
371,"custom","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
372,"court","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
373,"desert","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
374,"soil","名詞","2023-09-09 07:15:40","2023-09-09 07:15:40"
