"id","line_id","example","translation","created_at","updated_at"
23,23,"`“Tweets” were originally *limited* to 140 characters`.","`「ツイート」は元は140文字までに*限ら*れていた`。","2023-09-09 07:15:46","2024-06-21 14:55:13"
24,24,"The man `could not *bear* his stomachache`.","その男性は`胃の痛みに*耐える*ことができなかった`。","2023-09-09 07:15:46","2024-06-21 14:56:23"
25,25,"Your language can `*affect* your way of thinking`.","あなたの使う言語は`あなたの考え方に*影響を及ぼす*`可能性がある。","2023-09-09 07:15:46","2024-06-21 14:57:23"
26,26,"Our team `*deals* with complaints from out customers`.","我がチームは`顧客からの苦情を*処理する*`。","2023-09-09 07:15:46","2024-06-21 14:58:24"
27,27,"She somehow `*avoided* getting involved in the quarrel`.","彼女はどうにか`その口論に巻き込まれるのを*避けた*`。","2023-09-09 07:15:46","2024-06-21 14:59:23"
28,28,"She believes that `people’s blood types are *related* to their personalities`.","彼女は`人の血液型はその人の性格に*関連して*いる`と信じている。","2023-09-09 07:15:46","2024-06-21 15:00:46"
29,29,"She `*realized* that she was put in a difficult position`.","彼女は`自分が難しい立場に置かれていることに*気付いた*`。","2023-09-09 07:15:46","2024-06-21 15:02:08"
30,30,"Many company `*encourages* their employees not to work over time`.","多くの会社は`従業員に残業をしないように*奨励している*`。","2023-09-09 07:15:46","2024-06-21 15:03:31"
31,31,"She `*compared* the Japanese economy with the U.S. economy`.","彼女は`日本経済をアメリカ経済と*比較した*`。","2023-09-09 07:15:46","2024-06-21 15:04:45"
32,32,"She `*measures* her temperature` every morning.","彼女は毎朝`体温を*測る*`。","2023-09-09 07:15:46","2024-06-21 15:11:01"
33,33,"Some linguists think that `about 8,000 languages *exist* in the world`.","言語学者の中には`世界には約8,000の言語が*存在する*`と考える人もいる。","2023-09-09 07:15:46","2024-06-21 15:12:54"
34,34,"During the test, the students `*marked* his answers with a pencil`.","テスト中に、その生徒は`鉛筆で自分の回答に*印を付けた*`。","2023-09-09 07:15:46","2024-06-21 15:14:09"
35,35,"He `*challenged* the common belief` that laughter is a unique human feature.","彼は、笑いが人間独自の特徴であるという`常識に*異議を唱えた*`。","2023-09-09 07:15:46","2024-06-21 15:15:47"
36,36,"Children `*depend* on their parents` for many things.","子供は多くのことを`親に*頼っている*`。","2023-09-09 07:15:46","2024-06-21 15:16:47"
37,37,"Her parents `*objected* to her marriage`.","彼女の両親は`彼女の結婚に*反対した`*。","2023-09-09 07:15:46","2024-06-21 15:18:36"
38,38,"I `*demanded* that she let me go` with her.","私は`彼女に自分を一緒に連れて行くように*要求した*`。","2023-09-09 07:15:46","2024-06-21 15:19:53"
39,39,"A thinker in the Meiji Era `*founded* this university`.","明治時代のある思想家が`この大学を*設立した*`。","2023-09-09 07:15:46","2024-06-21 15:20:54"
40,40,"She `*completed* all the forms for her college application`.","彼女は`大学の入学願書の容姿すべてに*記入し終えた*`。","2023-09-09 07:15:46","2024-06-21 15:22:29"
41,41,"He `came up with a good *idea*` for the school party.","彼は学校のパーティーに合う`いい*考え*を思いついた`。","2023-09-09 07:15:46","2024-06-21 15:23:24"
42,42,"The research `results were in *accord* with the expectations` of the team.","研究`結果は`チームの`予想と*一致*していた`。","2023-09-09 07:15:46","2024-06-21 15:25:10"
43,43,"He started to `work for an insurance *company*` three years ago.","彼は3年前に`保険*会社*で働き`始めた。","2023-09-09 07:15:46","2024-06-21 15:26:30"
44,44,"She seems to `have a great *interest* in classical music`.","彼女は`クラシック音楽に大いに*興味*がある`ようだ。","2023-09-09 07:15:46","2024-06-21 15:27:34"
45,45,"The team `did *research* on life on Mars`.","そのチームは`火星上の生命体についての*調査*を行った`。","2023-09-09 07:15:46","2024-06-21 15:28:51"
46,46,"Air pollution is `a major *cause* of health problems`.","大気汚染は`健康問題の主要な*原因*`である。","2023-09-09 07:15:46","2024-06-21 15:29:47"
47,47,"He `explained the *reason* for his absence from school` today.","彼は今日`学校を欠席した*理由*を説明した`。","2023-09-09 07:15:46","2024-06-21 15:30:47"
48,48,"Abnormal weather can `have a negative *effect* on people’s lives`.","異常気象は`人々の生活に悪*影響*を与え`かねない。","2023-09-09 07:15:46","2024-06-21 15:32:00"
49,49,"Exercising `has an important *influence* on one’s health`.","運動することは`人の健康に重大な*影響*を与える`。","2023-09-09 07:15:46","2024-06-21 15:37:57"
50,50,"`The economic *situation*` of the country is gently improving.","その国の`経済*状況*`は緩やかによくなってきている。","2023-09-09 07:15:46","2024-06-21 15:38:57"
51,51,"Recycling is an effective way to `help the *environment*`.","リサイクルは`自然*環境*を助ける`効果的な方法である。","2023-09-09 07:15:46","2024-06-21 15:40:04"
52,52,"She needs to `improve her cooking *skills*` to become a chef.","彼女は料理長になるために`調理の*技術*を向上させる`必要がある。","2023-09-09 07:15:46","2024-06-21 15:41:11"
53,53,"She is good at `handling difficult *matters*`.","彼女は`難しい*事柄*に対処する`のが得意だ。","2023-09-09 07:15:46","2024-06-23 01:42:09"
54,54,"She often `express her *view* on welfare` for the elderly.","彼女は高齢者のための`福祉に関して`よく自分の`*意見*を述べる`。","2023-09-09 07:15:46","2024-06-23 01:45:34"
55,55,"Many societies `place a high *value* on education` these days.","最近、多くの社会は`教育に高い*価値*を置く`。","2023-09-09 07:15:46","2024-06-23 01:51:30"
56,56,"Biologists think there is a need to `protect endangered *species*`.","生物学者は`絶滅危惧*種*を保護する`必要があると思っている。","2023-09-09 07:15:46","2024-06-23 01:53:02"
57,57,"Bob `gave some *thought* for applying for the big contest`.","ボブは`その大きなコンテストに応募することについて一*考*した`。","2023-09-09 07:15:46","2024-06-23 01:54:12"
58,58,"Most young adults these days `have a good *knowledge* of computers`.","最近の若者の大半は`コンピュータに関する豊富な*知識*を持っている`。","2023-09-09 07:15:46","2024-06-23 01:55:37"
59,59,"She `has a good *memory* for people’s faces`.","彼女は`人の顔に関して*記憶力*がよい`。","2023-09-09 07:15:46","2024-06-23 01:56:49"
60,60,"The manager decided to `put his new ideas into *practice*`.","部長は`自分の新しい考えを*実行*する`ことに決めた。","2023-09-09 07:15:46","2024-06-23 01:57:55"
61,61,"Both nations will `enjoy the *benefits*` of a new free-trade agreement.","両国とも新たな自由貿易協定の`*利益*を享受する`ことになる。","2023-09-09 07:15:46","2024-06-23 01:59:06"
62,62,"There are many different `*theories* about how cancers occur`.","`癌がどのように生じるかに関する`多くの異なる`*学説*`が存在する。","2023-09-09 07:15:46","2024-06-23 02:00:53"
63,63,"The city council  will `discuss the *issue* of the new airport`.","市議会は`新空港の*問題*を議論する`予定だ。","2023-09-09 07:15:46","2024-06-23 02:01:51"
64,64,"The scientist `carried out various *experiments* on plants`.","その科学者は`植物について様々な*実験*を行った`。","2023-09-09 07:15:46","2024-06-23 02:03:00"
65,65,"Researchers often `cite *articles* from this scientific journal`.","研究者たちはしばしば`この科学雑誌から*記事*を引用する`。","2023-09-09 07:15:46","2024-06-23 02:04:34"
66,66,"Reducing poverty is `the main *focus* of the book`.","貧困を減らすことが`その本の主な*焦点*`である。","2023-09-09 07:15:46","2024-06-23 02:05:54"
67,67,"The author’s novels often `deal with the *subject* of space travel`.","その著者の小説はしばしば`宇宙旅行の*話題*を扱っている`。","2023-09-09 07:15:46","2024-06-23 02:07:29"
68,68,"The mayor `set up a *project*` to clean up the city.","市長はその市を美化する`*計画*を立てた`。","2023-09-09 07:15:46","2024-06-23 02:08:25"
69,69,"The company is trying to `improve the *quality* of its produce`.","その会社は`自社製品の*質*を向上させ`ようとしている。","2023-09-09 07:15:46","2024-06-23 08:54:56"
70,70,"Laughter `plays an important *role*` in strengthening personal relationshops.","笑いは人間会計を強化するうえで`重要な*役割*を果たす`。","2023-09-09 07:15:46","2024-06-23 08:56:12"
71,71,"“Hypertension” is `a medical *term*` for abnormally high blood pressure.","「高血圧症」は異常に高い血圧を表す`医学*用語*`である。","2023-09-09 07:15:46","2024-06-23 08:57:37"
72,72,"Th politician `made a short *statement*` to the press.","その政治家は報道機関に対し`短い*声明*を出した`。","2023-09-09 07:15:46","2024-06-23 08:58:31"
73,73,"The company makes its products with only `natural *materials*`.","その会社は`天然*素材*`だけを使って製品を作っている。","2023-09-09 07:15:46","2024-06-23 08:59:34"
74,74,"There is `clear *evidence* that the man did not commit the crime`.","`その男性は罪を犯していなかったという明白な*証拠*`がある。","2023-09-09 07:15:46","2024-06-23 09:00:39"
75,75,"Solar power is considered to be `a clean *source* of energy`.","太陽高熱は`クリーンなエネルギー*源*`であると見なされている。","2023-09-09 07:15:46","2024-06-23 09:01:42"
76,76,"`The international *community*` is working towards world peace.","`国際*社会*`は世界平和に向けて動いている。","2023-09-09 07:15:46","2024-06-23 09:02:50"
77,77,"`Digital *technology*` has significantly changed people’s ways of living.","`デジタル*技術*`は人々の生活様式を大いに変えた。","2023-09-09 07:15:46","2024-06-23 09:04:19"
78,78,"Chopsticks are an important part of `Asian *culture*`.","箸は`アジア*文化*`の重要な一部である。","2023-09-09 07:15:46","2024-06-23 09:05:08"
79,79,"It is important to wear `*appropriate* clothes for a job interview`.","`就職の面接に*適切な*服`を着ることが重要だ。","2023-09-09 07:15:46","2024-06-23 09:06:15"
80,80,"Some people believe that `AI robots are *likely* to replace most workers`.","`AIロボットが大半の労働者に取って代わり*そうだ*`と思っている人がいる。","2023-09-09 07:15:46","2024-06-23 09:07:39"
81,81,"Nowadays, `it is *possible* to buy almost anything on the Internet`.","最近では、`インターネットでほとんど何でも買うことが*可能で*ある`。","2023-09-09 07:15:46","2024-06-23 09:14:00"
82,82,"A group is not just `a collection of *individual* talents`.","集団は単なる`*個々の*才能の集まり`ではない。","2023-09-09 07:15:46","2024-06-23 09:15:06"
83,83,"Our main concern is to improve `*public* facilities` in the city.","私たちの主たる関心事は市内の`*公共*施設`を改良することである。","2023-09-09 07:15:46","2024-06-23 09:16:14"
84,84,"The team worked towards `the *common* goal` of winning the match.","チームはその試合に勝つという`*共通の*目標`に向かって努力した。","2023-09-09 07:15:46","2024-06-23 09:17:12"
85,85,"`I am *certain* that she will get a promotion` at work.","`彼女は`仕事で`昇進すると私は*確信して*いる`。","2023-09-09 07:15:46","2024-06-23 13:08:41"
86,86,"`His car is *similar* to mine` in design and performance.","`彼の車は`デザインと性能において`私の車と*似ている*`。","2023-09-09 07:15:46","2024-06-23 13:09:43"
87,87,"Research shows that reading habits have declined `in *recent* years`.","`*近*年`、読書の習慣が衰退してきていることを研究は示している。","2023-09-09 07:15:46","2024-06-23 13:11:00"
88,88,"Economic growth is `a *major* concern` for the Japanese government.","経済成長は日本政府にとって`*大きな*関心事`である。","2023-09-09 07:15:46","2024-06-23 13:12:03"
89,89,"You should `be more *patient* with your children`.","`自分の子供に対してもっと*忍耐強く*ある`べきだ。","2023-09-09 07:15:46","2024-06-23 13:12:57"
90,90,"She cannot eat `a *particular* type` of nut.","彼女は`ある*特定の*種類`のナッツが食べられない。","2023-09-09 07:15:46","2024-06-23 13:15:37"
91,91,"It is a good habit to `get *physical* exercise` every day.","毎日`*身体の*運動をする`のはよい習慣だ。","2023-09-09 07:15:46","2024-06-23 13:16:41"
92,92,"There are `*various* ways` to achieve your goals.","あなたの目標を達成する`*様々な*方法`がある。","2023-09-09 07:15:46","2024-06-23 13:17:36"
93,93,"`Tickets for the concert are *available*` on the Internet.","`そのコンサートのチケットは`インターネットで`*手に入る*`。","2023-09-09 07:15:46","2024-06-23 13:19:02"
94,94,"English is `a *native* language` for around 400 million people.","英語はおよそ4億人の人たちの`*母*語`である。","2023-09-09 07:15:46","2024-06-23 13:20:08"
95,95,"`The *political* situation` of Britain changed after World War I.","イギリスの`*政治*情勢`は第一次世界大戦後に変わった。","2023-09-09 07:15:46","2024-06-23 13:21:16"
96,96,"The train `is *due* to arrive` at Nagoya station in ten minutes.","列車は10分後に名古屋駅に`到着する*予定で*ある`。","2023-09-09 07:15:46","2024-06-23 13:22:24"
97,97,"Write your name in `the *blank* space` at the bottom of the paper.","用紙下部の`*空*欄`に名前を記入しなさい。","2023-09-09 07:15:46","2024-06-23 13:23:30"
98,98,"The Olympic games originated `in *ancient* times` in Greece.","オリンピックは`*古代*に`ギリシャで始まった。","2023-09-09 07:15:46","2024-06-23 13:24:39"
99,99,"You should always look `for *correct* information` before starting a report.","報告書を書く前にはいつも`*正しい*情報を探す`べきだ。","2023-09-09 07:15:46","2024-06-23 13:25:49"
100,100,"They `went hiking *despite* the fact that a storm was coming`.","`嵐がやって来ているという事実*にもかかわらず*`、彼らは`ハイキングに出掛けた`。","2023-09-09 07:15:46","2024-06-23 13:27:10"
101,101,"The doctor quickly `*noticed* a change` in the patient’s condition.","医師は患者の状態の`変化に`すぐに`*気付いた*`。","2023-09-09 07:15:46","2024-06-24 05:50:09"
102,102,"The article `*refers* to Darwin’s theory of evolution`.","その記事は`ダーウィンの進化論に*言及している*`。","2023-09-09 07:15:46","2024-06-24 05:51:06"
103,103,"`The car` slowed down as it `*approached* the curve`.","`その車はカーブに*近づく*`と速度を落とした。","2023-09-09 07:15:46","2024-06-24 05:52:07"
104,104,"The teacher `*wondered* why John didn’t attend today’s class`.","教師は`なぜジョンが今日の授業に出席していないの*かなと思った*`。","2023-09-09 07:15:46","2024-06-24 05:53:27"
105,105,"`*Imageine* that you won the lottery`.","`宝くじが当たったと*想像し*なさい`。","2023-09-09 07:15:46","2024-06-24 05:54:22"
106,106,"She immediately `*recognized* the building in the photo`.","彼女はすぐに、`その写真に写っている建物を*識別した*`。","2023-09-09 07:15:46","2024-06-24 05:55:33"
107,107,"She can `*solve* any math problem` quickly.","彼女は`どんな数学の問題でも`すぐ`*解く*`ことができる。","2023-09-09 07:15:46","2024-06-24 05:56:39"
108,108,"`Forest fires often *occur*` in California.","カリフォルニア州では`森林火災がよく*起こる*`。","2023-09-09 07:15:46","2024-06-24 05:57:59"
109,109,"He `*argues* that the country needs new energy policies`.","彼は`その国は新しいエネルギー政策を必要としていると*主張する*`。","2023-09-09 07:15:46","2024-06-24 05:58:59"
110,110,"Some scientists `*claim* that coffee lowers the risk of heart disease`.","`コーヒーは心疾患のリスクを減らすと*主張する*`科学者がいる。","2023-09-09 07:15:46","2024-06-24 06:00:17"
111,111,"The politician `*expressed* his opinions` on the leak of state secrets.","その政治家は国家機密の漏洩に関する`自分の意見を*表明した*`。","2023-09-09 07:15:46","2024-06-24 06:01:33"
112,112,"He `*drew* a conclusion` from a series of experiments.","彼は一連の実験から`1つの結論を*出した*`。","2023-09-09 07:15:46","2024-06-24 06:02:31"
113,113,"You should not `*waste* too much time on chatting online`.","`オンラインでチャットするのにあまりに長い時間を*浪費する*`べきではない。","2023-09-09 07:15:46","2024-06-24 06:03:45"
114,114,"All citizens should `*advance* their knowledge` of global ecology.","すべての市民は地球生態学の`知識を*深める*`べきだ。","2023-09-09 07:15:46","2024-06-24 06:05:01"
115,115,"He `*spread* rumors` about Mike on social media.","彼はソーシャルメディアでマイクについての`うわさを*広めた*`。","2023-09-09 07:15:46","2024-06-24 06:05:58"
116,116,"He `*prepared* a speech` for his friend’s wedding reception.","彼は友人の結婚披露宴のための`スピーチを*準備した*`。","2023-09-09 07:15:46","2024-06-24 06:06:58"
117,117,"She `*gained* a lot of experience` in the music business.","彼女は音楽業界で`多くの経験を*得た*`。","2023-09-09 07:15:46","2024-06-24 06:08:00"
118,118,"You can `*achieve* your goals` by making a good plan.","よい計画を立てることによって、`自分の目標を*達成する*`ことができる。","2023-09-09 07:15:46","2024-06-24 06:09:02"
119,119,"At a party, you can `*establish* friendly relationships` with others.","パーティーではほかの人々と`友好的な関係を*確立する*`ことができる。","2023-09-09 07:15:46","2024-06-24 06:10:27"
120,120,"This power plant `*supplies* electricity to the whole city`.","この発電所は`市全体に電気を*供給している*`。","2023-09-09 07:15:46","2024-06-24 06:11:59"
121,121,"I `*suppose* that his writing shows his true love of nature`.","私は`彼の書くものは彼の自然に対する真の愛を表していると*思う*`。","2023-09-09 07:15:46","2024-06-24 06:13:19"
122,122,"The two researchers decided to work together to `*perform* an experiment`.","2人の研究者は`実験を*行う*`ために協力することにした。","2023-09-09 07:15:46","2024-06-24 06:29:01"
123,123,"Some people `*prefer* e-books to printed books`.","`印刷された本より電子書籍*の方を好む*`人がいる。","2023-09-09 07:15:46","2024-06-24 06:29:59"
124,124,"It takes time to `*determine* whether something is true or not`.","`何かが真実かどうかを*決定する*`には時間がかかる。","2023-09-09 07:15:46","2024-06-24 06:31:01"
125,125,"Young people should `*treat* their elders with respect`.","若者は`敬意を持って年上の人を*処遇する*`べきである。","2023-09-09 07:15:46","2024-06-24 06:31:53"
126,126,"Scientists `have *proven* that dinosaurs once existed`.","科学者は`かつて恐竜が存在したこと*を証明した*`。","2023-09-09 07:15:46","2024-06-24 06:32:57"
127,127,"The computer company `*applied* a new theory to its product designs`.","そのコンピューター会社は`自社の商品設計に新しい理論を*適用した*`。","2023-09-09 07:15:46","2024-06-24 06:34:08"
128,128,"The salesperson `*mentioned* the features` of his company’s pruducts.","その販売員は自社製品の`特徴に*言及した*`。","2023-09-09 07:15:46","2024-06-24 06:35:24"
129,129,"Social Networking Services allow users to `*communicate* with other users`.","SNSは、利用者が`ほかの利用者と*情報交換する*`のを可能にする。","2023-09-09 07:15:46","2024-06-24 06:36:34"
130,130,"`Junk food` usually `*contains* a lot of salt`, sugar and fat.","`ジャンクフードは`たいてい`たくさんの塩分`、糖分、脂肪`を*含む*`。","2023-09-09 07:15:46","2024-06-24 06:37:48"
131,131,"If you need any help, `please *contact* me anytime`.","助けが必要なら、`いつでも私に*連絡して*ください`。","2023-09-09 07:15:46","2024-06-24 06:38:30"
132,132,"Today, many people `*regard* English language ability as necessary`.","今日、多くの人々は`英語の能力を必要なものだと*見なしている*`。","2023-09-09 07:15:46","2024-06-24 06:39:26"
133,133,"I `*respect* the professor` because of his unique viewpoints on literrature.","文学に対する独自の観点ゆえに、私は`教授を*尊敬する*`。","2023-09-09 07:15:46","2024-06-24 06:40:24"
134,134,"The police `*searched* for the missing person` all night.","警察は一晩中`行方不明者を*捜した*`。","2023-09-09 07:15:46","2024-06-24 06:41:14"
135,135,"Nowadays, many people `are *connecting* their TVs to the Internet`.","今日では、多くの人が`テレビをインターネットに*つないで*いる`。","2023-09-09 07:15:46","2024-06-24 06:42:13"
136,136,"`The crime rate in the U.S. has *declined*` seadly.","`アメリカにおける犯罪率`は着実に`*減少してきている*`。","2023-09-09 07:15:46","2024-06-24 06:43:28"
137,137,"Strict laws may `*prevent* people from committing violent crimes`.","厳しい法律は`人々が凶悪犯罪を犯すのを*妨げる*`かもしれない。","2023-09-09 07:15:46","2024-06-24 06:44:29"
138,138,"Many countries around the world `*suffer* from natural disasters`.","世界中の多くの国々が`自然災害に*苦しんでいる*`。","2023-09-09 07:15:46","2024-06-24 06:45:20"
139,139,"The man `*survived* the traffic accident`.","その男性は`その交通事故で*生き残った*`。","2023-09-09 07:15:46","2024-06-24 06:46:03"
140,140,"She `*published* a novel` about a professional gamer.","彼女はプロのゲーマーを描いた`小説を*出版した*`。","2023-09-09 07:15:46","2024-06-24 06:46:58"
141,141,"Most Japanese do not have `an *opportunity* to use English` every day.","たいていの日本人は毎日`英語を使う*機会*`がない。","2023-09-09 07:15:46","2024-06-24 06:47:58"
142,142,"She `completed the *task*` of making a sales presentation.","彼女は販売企画の説明を行うという仕事をやり遂げた。","2023-09-09 07:15:46","2024-06-24 06:48:57"
143,143,"The Japanese `auto *industry*` is making big changes in car manufacturing.","日本の`自動車*産業*`は自動車製造における大きな変化を起こしつつある。","2023-09-09 07:15:46","2024-06-24 06:50:12"
144,144,"People nowadays use `social *media*` to share information and ideas.","今日、人々は情報や考えを共有するために`ソーシャル*メディア*`を使う。","2023-09-09 07:15:46","2024-06-24 06:51:37"
145,145,"I wonder if higher wages are good for `the Japanese *economy*`.","より高い賃金は`日本*経済*`にとってよいことだろうか。","2023-09-09 07:15:46","2024-06-24 06:52:30"
146,146,"The government is changing its `free-market *policy*`.","政府は`自由市場政策`を*変更*しつつある。","2023-09-09 07:15:46","2024-06-24 06:53:51"
147,147,"The patient’s family was given ` a detailed *account*` of the operation.","患者の家族は手術についての`詳しい*説明*`を受けた。","2023-09-09 07:15:46","2024-06-24 06:55:00"
148,148,"There was an increase in wine `*trade* between two countries`.","`両国間の`ワイン*貿易*が拡大した。","2023-09-09 07:15:46","2024-06-24 06:56:31"
149,149,"The famous reporter’s work is `an ideal *model*` of journalism.","その有名な記者の仕事はジャーナリズムの`理想的な*模範*`である。","2023-09-09 07:15:46","2024-06-24 06:57:39"
150,150,"There is room for improvement in `the sales *figures*` of our cars.","当社の車の`販売*数*`には改善の余地がある。","2023-09-09 07:15:46","2024-06-24 06:58:38"
151,151,"They discovered a virus that destroys `cancer *cells*`.","彼らは`がん*細胞*`を破壊するウイルスを発見した。","2023-09-09 07:15:46","2024-06-24 06:59:48"
152,152,"We `have a positive *image* of Olympic athletes`.","私たちは`オリンピック選手に対して肯定的な*印象*を抱いている`。","2023-09-09 07:15:46","2024-06-24 14:13:26"
153,153,"Men and women seem to `handle *emotions*` quite differently.","男性と女性はまったく異なったやり方で`*感情*に対処する`ように思える。","2023-09-09 07:15:46","2024-06-24 14:14:28"
154,154,"A tight work schedule may `cause *stress*`.","ぎっしり詰まった仕事の予定が`*ストレス*を引き起こす`こともある。","2023-09-09 07:15:46","2024-06-24 14:15:19"
155,155,"The country has had fast growth `over the last few *decades*`.","その国は`過去数*十年間*にわたって`急成長を遂げてきた。","2023-09-09 07:15:46","2024-06-24 14:16:29"
156,156,"The company made a plan to `expand the *range* of its products`.","その会社は`製品の*範囲*を拡大する`計画を立てた。","2023-09-09 07:15:46","2024-06-24 14:17:27"
157,157,"Many foreigners think Japanese people `have a modest *character*`.","多くの外国人が日本人は`謙虚な*性格*を備えている`と思っている。","2023-09-09 07:15:46","2024-06-24 14:18:26"
158,158,"`One great *advantage* of online communities` is relationship building among people.","`オンラインコミュニティーの大きな*利点*の1つ`は、人々の間に関係を築くことである。","2023-09-09 07:15:46","2024-06-24 14:19:54"
159,159,"`A *phrase* like “it’s similar to”` is useful for explaining words.","`「それは〜に似ている」のような*句*`は語の説明をするのに役立つ。","2023-09-09 07:15:46","2024-06-24 14:21:52"
160,160,"The hurricane `caused great *damage* to the city`.","ハリケーンは`その市に大きな*損害*を与えた`。","2023-09-09 07:15:46","2024-06-24 14:22:43"
161,161,"A wasteful use of resources `has a negative *impact* on the environment`.","資源の無駄遣いは`環境に悪*影響*を及ぼす`。","2023-09-09 07:15:46","2024-06-24 14:23:55"
162,162,"`Some *methods* of dieting` face a lot of criticism.","`いくつかのダイエット*法`*は多くの批判に直面している。","2023-09-09 07:15:46","2024-06-24 14:24:48"
163,163,"Technology will make the efficient use of `natural *resources*` possible.","科学技術は`天然*資源*`の効率的な利用を可能にするだろう。","2023-09-09 07:15:46","2024-06-24 14:25:49"
164,164,"Auroras are visible in `the polar *regions*`.","オーロラは`極*地*`で見られる。","2023-09-09 07:15:46","2024-06-24 14:26:34"
165,165,"The doctors `tried out a new kind of *medicine*` on the girl to save her life.","医師たちはその少女の命を救うために彼女に`新しい種類の*薬*を試した`。","2023-09-09 07:15:46","2024-06-24 14:27:44"
166,166,"You should not post too many `personal *details* about yourself` on your blog.","ブログにあまりにも多くの`自分自身についての*詳細な*個人*情報`*を載せるべきではない。","2023-09-09 07:15:46","2024-06-24 14:29:02"
167,167,"`The most unique *feature*` of the new building is its curved shape.","その新しい建物の`最も珍しい*特徴*`は曲がった形状である。","2023-09-09 07:15:46","2024-06-24 14:30:05"
168,168,"Voice recognition is one of the most `useful *function* of smartphones`.","音声認識は`スマートフォンの`最も`便利な*機能*`の1つである。","2023-09-09 07:15:46","2024-06-24 14:31:29"
169,169,"People can easily `have *access* to the Internet` these days.","最近では人々は簡単に`インターネットを*利用*する`ことができる。","2023-09-09 07:15:46","2024-06-24 14:32:24"
170,170,"The secret behind the popularity of the shop is its `wide choice of *items*`.","その店の人気の秘密は`幅広い*品*揃え`である。","2023-09-09 07:15:46","2024-06-24 14:33:23"
171,171,"`The average annual household *income*` has declined over the past decade.","`平均的な世帯年*収*`は過去10年で減少した。","2023-09-09 07:15:46","2024-06-24 14:34:27"
